date,amount,method
2026-04-09,2450.000,USDT
2026-04-09,3500.00,card
2026-04-09,2300.00,card
2026-04-09,3300.00,card
2026-04-09,3500.00,card
2026-04-09,2000.00,card
2026-04-09,3300.00,card
2026-04-09,3500.00,card
2026-04-09,3300.00,card
2026-04-09,3300.00,card
2026-04-09,3500.00,BALANCE
2026-04-09,2170.000,USDT
2026-04-09,3500.00,card
2026-04-09,3500.00,card
2026-04-09,5500.00,card
2026-04-09,3500.00,card
2026-04-09,3500.00,BALANCE
2026-04-09,3780.000,USDT
2026-04-09,2100.000,USDT
2026-04-09,3500.00,BALANCE
2026-04-09,3500.00,BALANCE
2026-04-09,3290.000,USDT
2026-04-09,5600.00,BALANCE
2026-04-08,5600.00,onlypays
2026-04-08,2310.000,USDT
2026-04-08,3300.00,transa
2026-04-08,5600.00,BALANCE
2026-04-08,2450.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,5460.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,16800.000,USDT
2026-04-08,3500.00,BALANCE
2026-04-08,2450.000,USDT
2026-04-08,3300.00,transa
2026-04-08,3780.000,USDT
2026-04-08,3300.00,BALANCE
2026-04-08,2310.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,2000.00,onlypays
2026-04-08,2000.00,BALANCE
2026-04-08,2450.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,3500.00,transa
2026-04-08,3500.00,transa
2026-04-08,3500.00,BALANCE
2026-04-08,2000.00,BALANCE
2026-04-08,5400.00,BALANCE
2026-04-08,2450.000,USDT
2026-04-08,2030.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,3920.000,USDT
2026-04-08,3780.000,USDT
2026-04-08,3500.00,transa
2026-04-08,2450.000,USDT
2026-04-08,2000.00,BALANCE
2026-04-08,5500.00,BALANCE
2026-04-08,5600.00,BALANCE
2026-04-08,2450.000,USDT
2026-04-08,5460.000,USDT
2026-04-08,3780.000,USDT
2026-04-08,2100.00,nirvana
2026-04-08,3920.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,3300.00,transa
2026-04-08,2310.000,USDT
2026-04-08,3300.00,BALANCE
2026-04-08,3300.00,BALANCE
2026-04-08,1000.00,transa
2026-04-08,1400.00,nirvana
2026-04-08,2000.00,nirvana
2026-04-08,3300.00,transa
2026-04-08,3300.00,transa
2026-04-08,5600.00,BALANCE
2026-04-08,5460.000,USDT
2026-04-08,2170.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,7800.00,BALANCE
2026-04-08,3850.000,USDT
2026-04-08,3920.000,USDT
2026-04-08,3500.00,BALANCE
2026-04-08,1050.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,3500.00,BALANCE
2026-04-08,1995.000,USDT
2026-04-08,3850.000,USDT
2026-04-08,3920.000,USDT
2026-04-08,7800.00,transa
2026-04-08,5200.00,onlypays
2026-04-08,3780.000,USDT
2026-04-08,3500.00,BALANCE
2026-04-08,3500.00,BALANCE
2026-04-08,840.000,USDT
2026-04-08,1400.000,USDT
2026-04-08,5200.00,onlypays
2026-04-08,7800.00,transa
2026-04-08,3500.00,nirvana
2026-04-08,3920.000,USDT
2026-04-08,1400.000,USDT
2026-04-08,5400.00,BALANCE
2026-04-08,3300.00,transa
2026-04-08,2310.000,USDT
2026-04-08,3500.00,BALANCE
2026-04-08,1200.00,transa
2026-04-08,3920.000,USDT
2026-04-08,2450.000,USDT
2026-04-08,5460.000,USDT
2026-04-08,7800.00,BALANCE
2026-04-08,4300.00,transa
2026-04-07,3920.000,USDT
2026-04-07,5600.00,transa
2026-04-07,3850.000,USDT
2026-04-07,2310.000,USDT
2026-04-07,5500.00,BALANCE
2026-04-07,5600.00,BALANCE
2026-04-07,3200.00,onlypays
2026-04-07,9100.000,USDT
2026-04-07,2000.00,transa
2026-04-07,5810.000,USDT
2026-04-07,3500.00,transa
2026-04-07,3780.000,USDT
2026-04-07,2450.000,USDT
2026-04-07,2000.00,nirvana
2026-04-07,5460.000,USDT
2026-04-07,5400.00,BALANCE
2026-04-07,3780.000,USDT
2026-04-07,3780.000,USDT
2026-04-07,5400.00,BALANCE
2026-04-07,3780.000,USDT
2026-04-07,3920.000,USDT
2026-04-07,3780.000,USDT
2026-04-07,3920.000,USDT
2026-04-07,5600.00,BALANCE
2026-04-07,3500.00,card
2026-04-07,3500.00,card
2026-04-07,5400.00,BALANCE
2026-04-07,2450.000,USDT
2026-04-07,3500.00,BALANCE
2026-04-07,7800.00,BALANCE
2026-04-07,2000.00,nirvana
2026-04-07,850.0000,BTC
2026-04-07,2000.00,nirvana
2026-04-07,3500.00,card
2026-04-07,5500.00,BALANCE
2026-04-07,5810.000,USDT
2026-04-07,8300.00,BALANCE
2026-04-07,5500.00,onlypays
2026-04-07,3780.000,USDT
2026-04-07,2500.00,BALANCE
2026-04-07,3500.00,BALANCE
2026-04-07,5500.00,BALANCE
2026-04-07,3780.000,USDT
2026-04-07,2450.000,USDT
2026-04-07,3780.000,USDT
2026-04-07,1400.000,USDT
2026-04-07,5400.00,BALANCE
2026-04-07,2450.000,USDT
2026-04-07,1330.000,USDT
2026-04-07,1400.000,USDT
2026-04-07,5500.00,BALANCE
2026-04-07,3500.00,BALANCE
2026-04-07,3500.00,BALANCE
2026-04-07,3850.000,USDT
2026-04-07,2000.00,BALANCE
2026-04-07,5600.00,BALANCE
2026-04-07,3780.000,USDT
