date_time,amount,method
2026-04-08 15:12:40.355126,3000.00,BALANCE
2026-04-08 14:54:13.512487,4200.000,USDT
2026-04-08 14:51:53.637873,1540.000,USDT
2026-04-08 14:44:39.844501,3200.00,transa
2026-04-08 14:00:32.747872,3200.00,transa
2026-04-08 13:03:20.013808,1900.00,BALANCE
2026-04-08 12:46:59.295686,1330.000,USDT
2026-04-08 12:38:41.665804,3000.00,BALANCE
2026-04-08 12:18:05.141441,2100.000,USDT
2026-04-08 11:26:03.895471,3200.00,BALANCE
2026-04-08 10:58:07.47911,2170.000,USDT
2026-04-08 06:44:06.102969,2030.000,USDT
2026-04-08 02:43:44.752408,3200.00,BALANCE
2026-04-08 02:38:36.885077,3200.00,transa
2026-04-07 22:08:37.059142,3300.00,BALANCE
2026-04-07 21:40:18.09209,2310.000,USDT
2026-04-07 21:22:11.88503,3200.00,BALANCE
2026-04-07 20:47:07.163483,12000.00,BALANCE
2026-04-07 20:27:00.071311,3200.00,nirvana
2026-04-07 20:24:10.039287,1000.00,BALANCE
2026-04-07 20:21:52.194688,8400.000,USDT
2026-04-07 19:25:28.198646,2240.000,USDT
2026-04-07 19:24:49.763008,2030.000,USDT
2026-04-07 19:07:08.858194,12000.00,BALANCE
2026-04-07 18:44:11.174944,2400.00,BALANCE
2026-04-07 18:38:53.569528,2900.00,BALANCE
2026-04-07 18:36:14.385206,1200.00,BALANCE
2026-04-07 18:20:54.280006,1200.00,BALANCE
2026-04-07 18:00:40.129383,1020.0000,BTC
2026-04-07 17:41:04.236335,8260.000,USDT
2026-04-07 16:10:15.555423,3900.00,card
2026-04-07 16:05:48.417349,2240.000,USDT
2026-04-07 15:48:13.302984,3000.00,BALANCE
2026-04-07 14:44:47.989104,3200.00,card
2026-04-07 14:15:27.982765,3700.00,card
2026-04-07 14:13:11.807781,14000.00,BALANCE
2026-04-07 13:55:53.17197,1200.00,BALANCE
2026-04-07 13:53:58.970699,3200.00,BALANCE
2026-04-07 13:53:37.859814,9800.000,USDT
2026-04-07 13:21:55.007808,2100.000,USDT
2026-04-07 13:06:21.44783,130.00,BALANCE
2026-04-07 12:56:50.030528,3200.00,BALANCE
2026-04-07 12:51:15.207519,2900.00,card
2026-04-07 12:46:13.95666,3200.00,card
