date_time,amount,method
2026-04-09 00:59:10.34946,1900.00,BALANCE
2026-04-09 00:44:43.472333,3800.00,BALANCE
2026-04-09 00:13:33.73531,7200.00,BALANCE
2026-04-08 22:55:29.494526,2465.0000,LTC
2026-04-08 22:26:14.928531,2400.00,BALANCE
2026-04-08 22:16:07.927084,4200.00,BALANCE
2026-04-08 21:49:39.200683,2900.00,BALANCE
2026-04-08 21:45:42.725318,0.00,BALANCE
2026-04-08 21:44:57.740393,3900.00,BALANCE
2026-04-08 21:25:37.961571,4000.00,BALANCE
2026-04-08 21:07:57.102618,2900.00,BALANCE
2026-04-08 20:03:36.019284,0.00,BALANCE
2026-04-08 19:54:37.819388,2900.00,nirvana
2026-04-08 19:51:31.699556,4000.00,BALANCE
2026-04-08 19:35:52.698261,2400.00,BALANCE
2026-04-08 19:35:28.561266,4000.00,BALANCE
2026-04-08 19:28:39.324143,300.00,BALANCE
2026-04-08 19:24:13.544618,2800.000,USDT
2026-04-08 19:20:21.51137,2900.00,BALANCE
2026-04-08 19:04:58.396668,2310.000,USDT
2026-04-08 18:59:02.661343,2800.000,USDT
2026-04-08 18:27:43.88878,4000.00,BALANCE
2026-04-08 18:20:28.867636,0.00,BALANCE
2026-04-08 18:15:58.778186,2940.000,USDT
2026-04-08 18:14:37.2614,2030.000,USDT
2026-04-08 17:57:01.512525,4000.00,BALANCE
2026-04-08 17:27:50.445312,1900.00,BALANCE
2026-04-08 17:20:28.915433,2900.00,BALANCE
2026-04-08 17:11:32.923588,2000.00,BALANCE
2026-04-08 17:00:03.638313,2900.00,BALANCE
2026-04-08 16:59:05.640555,1900.00,BALANCE
2026-04-08 16:58:33.841871,2900.00,BALANCE
2026-04-08 16:56:42.875983,4000.00,BALANCE
2026-04-08 16:50:32.917981,2800.000,USDT
2026-04-08 16:42:35.586279,4200.00,BALANCE
2026-04-08 16:33:48.53289,3300.00,BALANCE
2026-04-08 16:30:58.088714,7200.00,BALANCE
2026-04-08 16:29:13.946274,2900.00,card
2026-04-08 16:23:40.069645,3800.00,card
2026-04-08 16:19:25.117657,2900.00,card
2026-04-08 15:26:16.379966,5040.000,USDT
2026-04-08 15:22:19.312565,4000.00,BALANCE
2026-04-08 15:21:08.16444,2940.000,USDT
2026-04-08 15:10:36.848464,2730.000,USDT
2026-04-08 14:48:21.445682,1650.00,BALANCE
2026-04-08 14:39:18.25791,1330.000,USDT
2026-04-08 13:56:12.879172,2100.00,BALANCE
2026-04-08 13:44:43.007133,4000.00,onlypays
2026-04-08 13:27:33.886626,0.00,BALANCE
2026-04-08 13:13:01.218197,6900.00,BALANCE
2026-04-08 13:12:16.790943,4000.00,BALANCE
2026-04-08 13:01:14.684394,2800.000,USDT
2026-04-08 12:58:42.977389,3800.00,BALANCE
2026-04-08 12:45:38.039657,4000.00,BALANCE
2026-04-08 12:45:19.689523,100.00,BALANCE
2026-04-08 12:44:33.760473,2800.000,USDT
2026-04-08 12:44:20.148959,2700.00,BALANCE
2026-04-08 12:35:05.495813,3400.0000,LTC
2026-04-08 12:17:02.270054,3000.00,BALANCE
2026-04-08 12:14:30.782349,900.00,BALANCE
2026-04-08 11:19:43.7304,1900.00,BALANCE
2026-04-08 11:12:45.671802,2030.000,USDT
2026-04-08 11:06:36.720081,2660.000,USDT
2026-04-08 11:04:26.286442,2940.000,USDT
2026-04-08 11:00:00.300065,300.00,BALANCE
2026-04-08 10:46:15.234,2900.00,BALANCE
2026-04-08 10:40:43.301821,2800.000,USDT
2026-04-08 10:18:56.665739,4000.00,BALANCE
2026-04-08 10:11:01.809555,7200.00,BALANCE
2026-04-08 09:01:50.866983,1200.00,BALANCE
2026-04-08 08:30:04.827577,2800.000,USDT
2026-04-08 07:41:40.226668,4100.00,BALANCE
2026-04-08 00:35:24.513009,1100.00,BALANCE
2026-04-08 00:08:32.373575,0.00,BALANCE
2026-04-07 23:54:27.243133,2940.000,USDT
2026-04-07 22:34:25.525429,4000.00,BALANCE
2026-04-07 22:05:23.253564,0.00,BALANCE
2026-04-07 21:50:26.472182,4200.00,nirvana
2026-04-07 21:50:07.472784,2900.00,nirvana
2026-04-07 21:48:40.482949,4830.000,USDT
2026-04-07 21:45:41.624726,2800.000,USDT
2026-04-07 20:55:19.873703,2900.00,BALANCE
2026-04-07 20:50:15.129712,3400.0000,LTC
2026-04-07 20:40:07.770537,4000.00,BALANCE
2026-04-07 20:29:46.093166,2940.000,USDT
2026-04-07 20:11:08.51628,2030.000,USDT
2026-04-07 19:50:10.379996,2940.000,USDT
2026-04-07 19:29:01.406527,4200.00,BALANCE
2026-04-07 19:26:53.264489,0.00,BALANCE
2026-04-07 19:02:30.041273,4000.00,BALANCE
2026-04-07 18:55:38.654356,2800.000,USDT
